resp_fMRI.keys, resp_fMRI.rt, respTaskInstructions.keys, respTaskInstructions.rt, respHowWhyTaskInstructions.keys, respHowWhyTaskInstructions.rt, construal_resp.keys, construal_resp.rt, resp_trial.keys, resp_trial.rt, finish_screen_end_response.keys, finish_screen_end_response.rt, instructionLoop.thisRepN, instructionLoop.thisTrialN, instructionLoop.thisN, instructionLoop.thisIndex, blocks.thisRepN, blocks.thisTrialN, blocks.thisN, blocks.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, RewardTrialRanked, Construal_QuestionText, Construal_AnswerText, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, RewardTrialRanked, Construal_QuestionText, Construal_AnswerText, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, participant, session, run, k_val, designDir, total_time_limit, date, expName, frameRate
5, 1.2270000000003165, 1, 0.6179999999999382, 1, 0.5650000000000546, 1, 1.3049999999998363, , , , , , , , , 0, -1, -1, 0, 2001, 1, 1, 1.2850000000003092, 0.01, 0.01333521432163324, , 5.27184097959, 24.838000000000193, 26.121000000000095, , 19.894736842105267, 36, 1, 1, 5, 90, 0, 1, 3, 1.11017517197, 5, How to make a donation?,  Mix a cocktail., 5, 16.49200000000019, 19.548999999999978, 0, 0, 0, 0, 2001, 1, 1, 1.2850000000003092, 0.01, 0.01333521432163324, , 5.27184097959, 24.838000000000193, 26.121000000000095, , 19.894736842105267, 36, 1, 1, 5, 90, 0, 1, 3, 1.11017517197, 5, How to make a donation?,  Mix a cocktail., 5, 16.49200000000019, 19.548999999999978, 0, 0, 0, 0, 2001, 1, practice, 0.01, fmri_v220180219183556, 400, Wed Feb 21 2018 13:26:00 GMT-0800 (PST), stroop, 60
, , , , , , 1, 0.4980000000000473, , , , , , , , , 0, -1, -1, 0, 2001, 2, 1, 1.0289999999999964, 0.01333521432163324, 0.01, , 0.965516188736, 31.329999999999927, 32.358999999999924, , 10.665939977105571, 22, 1, 2, 5, 90, 0, 1, 3, 0.64585124848, 4, How to avoid diseases?,  Kill germs., 5, 28.108000000000175, 30.35699999999997, 0, 1, 1, 1, 2001, 2, 1, 1.0289999999999964, 0.01333521432163324, 0.01, , 0.965516188736, 31.329999999999927, 32.358999999999924, , 10.665939977105571, 22, 1, 2, 5, 90, 0, 1, 3, 0.64585124848, 4, How to avoid diseases?,  Kill germs., 5, 28.108000000000175, 30.35699999999997, 0, 1, 1, 1, 2001, 1, practice, 0.01, fmri_v220180219183556, 400, Wed Feb 21 2018 13:26:00 GMT-0800 (PST), stroop, 60
, , , , , , 1, 0.4499999999998181, , , , , , , , , 0, -1, -1, 0, 2001, 3, 2, 0.5840000000002874, 0.01, 0.007498942093324559, , 4.36139773125, 44.307000000000244, 44.89000000000033, , 21.55263157894737, 39, 1, 2, 5, 90, 0, 1, 3, 0.772537597052, 10, How to dress formally?,  Wear ties. , 4, 37.733000000000175, 39.934999999999945, 0, 2, 2, 2, 2001, 3, 2, 0.5840000000002874, 0.01, 0.007498942093324559, , 4.36139773125, 44.307000000000244, 44.89000000000033, , 21.55263157894737, 39, 1, 2, 5, 90, 0, 1, 3, 0.772537597052, 10, How to dress formally?,  Wear ties. , 4, 37.733000000000175, 39.934999999999945, 0, 2, 2, 2, 2001, 1, practice, 0.01, fmri_v220180219183556, 400, Wed Feb 21 2018 13:26:00 GMT-0800 (PST), stroop, 60
, , , , , , 1, 0.2829999999999018, , , , , , , , , 0, -1, -1, 0, 2001, 4, 2, 0.5839999999998327, 0.007498942093324559, 0.005623413251903492, , 0.526135711334, 48.995000000000346, 49.57900000000018, , 17.963616088463173, 29, 1, 2, 5, 90, 0, 1, 3, 1.33183786753, 1, How to read articles?,  Open a magazine., 4, 46.42599999999993, 48.46100000000024, 0, 3, 3, 3, 2001, 4, 2, 0.5839999999998327, 0.007498942093324559, 0.005623413251903492, , 0.526135711334, 48.995000000000346, 49.57900000000018, , 17.963616088463173, 29, 1, 2, 5, 90, 0, 1, 3, 1.33183786753, 1, How to read articles?,  Open a magazine., 4, 46.42599999999993, 48.46100000000024, 0, 3, 3, 3, 2001, 1, practice, 0.01, fmri_v220180219183556, 400, Wed Feb 21 2018 13:26:00 GMT-0800 (PST), stroop, 60
, , , , , , 1, 0.499000000000251, , , , , , , , , 0, -1, -1, 0, 2001, 5, 1, 0.6169999999997344, 0.005623413251903492, 0.00749894209332456, , 2.51934749704, 57.8720000000003, 58.48900000000003, , 19.113697879768964, 28, 1, 1, 5, 90, 0, 1, 3, 0.935589369954, 11, How to feel nostalgia?,  Keep a memory., 6, 53.100000000000364, 55.35200000000032, 0, 4, 4, 4, 2001, 5, 1, 0.6169999999997344, 0.005623413251903492, 0.00749894209332456, , 2.51934749704, 57.8720000000003, 58.48900000000003, , 19.113697879768964, 28, 1, 1, 5, 90, 0, 1, 3, 0.935589369954, 11, How to feel nostalgia?,  Keep a memory., 6, 53.100000000000364, 55.35200000000032, 0, 4, 4, 4, 2001, 1, practice, 0.01, fmri_v220180219183556, 400, Wed Feb 21 2018 13:26:00 GMT-0800 (PST), stroop, 60
, , , , , , 1, 0.4169999999999163, , , , , , , , , 0, -1, -1, 0, 2001, 6, 1, 0.568000000000211, 0.00749894209332456, 0.010000000000000002, , 1.04044056023, 63.76099999999997, 64.32900000000018, , 18.583051125996384, 30, 1, 1, 5, 90, 0, 1, 3, 1.06975861396, 7, How to show humility?,  Build muscles., 6, 60.541999999999916, 62.71100000000024, 0, 5, 5, 5, 2001, 6, 1, 0.568000000000211, 0.00749894209332456, 0.010000000000000002, , 1.04044056023, 63.76099999999997, 64.32900000000018, , 18.583051125996384, 30, 1, 1, 5, 90, 0, 1, 3, 1.06975861396, 7, How to show humility?,  Build muscles., 6, 60.541999999999916, 62.71100000000024, 0, 5, 5, 5, 2001, 1, practice, 0.01, fmri_v220180219183556, 400, Wed Feb 21 2018 13:26:00 GMT-0800 (PST), stroop, 60
, , , , , , 1, 0.5329999999999018, , , , , , , , , 0, -1, -1, 0, 2001, 7, 2, 0.9019999999995889, 0.010000000000000002, 0.0074989420933245605, , 1.63686800574, 70.91900000000032, 71.82099999999991, , 13.81578947368421, 25, 1, 2, 5, 90, 0, 1, 3, 1.0329789217, 3, Why finish a job?,  Feel productive., 3, 66.98199999999997, 69.26800000000003, 0, 6, 6, 6, 2001, 7, 2, 0.9019999999995889, 0.010000000000000002, 0.0074989420933245605, , 1.63686800574, 70.91900000000032, 71.82099999999991, , 13.81578947368421, 25, 1, 2, 5, 90, 0, 1, 3, 1.0329789217, 3, Why finish a job?,  Feel productive., 3, 66.98199999999997, 69.26800000000003, 0, 6, 6, 6, 2001, 1, practice, 0.01, fmri_v220180219183556, 400, Wed Feb 21 2018 13:26:00 GMT-0800 (PST), stroop, 60
, , , , , , 1, 0.4169999999999163, , , , , , , , , 0, -1, -1, 0, 2001, 8, 1, 0.6340000000000146, 0.0074989420933245605, 0.010000000000000002, , 0.857338184117, 76.72600000000011, 77.36000000000013, , 24.77740150132851, 40, 1, 1, 5, 90, 0, 1, 3, 1.27216058478, 2, Why save money?,  Get fit., 3, 73.69000000000005, 75.85899999999992, 0, 7, 7, 7, 2001, 8, 1, 0.6340000000000146, 0.0074989420933245605, 0.010000000000000002, , 0.857338184117, 76.72600000000011, 77.36000000000013, , 24.77740150132851, 40, 1, 1, 5, 90, 0, 1, 3, 1.27216058478, 2, Why save money?,  Get fit., 3, 73.69000000000005, 75.85899999999992, 0, 7, 7, 7, 2001, 1, practice, 0.01, fmri_v220180219183556, 400, Wed Feb 21 2018 13:26:00 GMT-0800 (PST), stroop, 60
, , , , , , 1, 0.6700000000000728, , , , , , , , , 0, -1, -1, 0, 2001, 9, 2, 1.0840000000002874, 0.010000000000000002, 0.0074989420933245605, , 0.797887828194, 82.38400000000001, 83.4680000000003, , 12.710526315789474, 23, 1, 2, 5, 90, 0, 1, 3, 0.5731933933, 9, Why take aspirin?,  Serve alcohol., 1, 79.16200000000026, 81.58500000000004, 0, 8, 8, 8, 2001, 9, 2, 1.0840000000002874, 0.010000000000000002, 0.0074989420933245605, , 0.797887828194, 82.38400000000001, 83.4680000000003, , 12.710526315789474, 23, 1, 2, 5, 90, 0, 1, 3, 0.5731933933, 9, Why take aspirin?,  Serve alcohol., 1, 79.16200000000026, 81.58500000000004, 0, 8, 8, 8, 2001, 1, practice, 0.01, fmri_v220180219183556, 400, Wed Feb 21 2018 13:26:00 GMT-0800 (PST), stroop, 60
, , , , , , 1, 0.4670000000000982, , , , , , , , , 0, -1, -1, 0, 2001, 10, 2, 2.4470000000001164, 0.0074989420933245605, 0.005623413251903493, , 0.652605604224, 88.02800000000025, 90.47500000000036, , 22.919096388728875, 37, 1, 2, 5, 90, 0, 1, 3, 0.979720952394, 8, Why turn a doorknob?,  Enter a classroom., 1, 85.13599999999997, 87.35500000000002, 0, 9, 9, 9, 2001, 10, 2, 2.4470000000001164, 0.0074989420933245605, 0.005623413251903493, , 0.652605604224, 88.02800000000025, 90.47500000000036, , 22.919096388728875, 37, 1, 2, 5, 90, 0, 1, 3, 0.979720952394, 8, Why turn a doorknob?,  Enter a classroom., 1, 85.13599999999997, 87.35500000000002, 0, 9, 9, 9, 2001, 1, practice, 0.01, fmri_v220180219183556, 400, Wed Feb 21 2018 13:26:00 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , , , 0, -1, -1, 0, 2001, 11, 2, 6.005000000000109, 0.005623413251903493, 0.005623413251903493, , 3.80973700403, 103.125, 109.13000000000011, , 23.2094902825766, 34, 1, , 5, 90, 0, 1, 3, 1.00598410544, 0, Why dress formally?,  Get a promotion., 2, 95.29700000000003, 99.30300000000034, 0, 10, 10, 10, 2001, 11, 2, 6.005000000000109, 0.005623413251903493, 0.005623413251903493, , 3.80973700403, 103.125, 109.13000000000011, , 23.2094902825766, 34, 1, , 5, 90, 0, 1, 3, 1.00598410544, 0, Why dress formally?,  Get a promotion., 2, 95.29700000000003, 99.30300000000034, 0, 10, 10, 10, 2001, 1, practice, 0.01, fmri_v220180219183556, 400, Wed Feb 21 2018 13:26:00 GMT-0800 (PST), stroop, 60
, , , , , , 1, 0.7840000000001055, , , , , , , , , 0, -1, -1, 0, 2001, 12, 1, 2.536999999999807, 0.005623413251903493, 0.004216965034285824, , 1.22615364485, 114.13599999999997, 116.67200000000003, , 14.335273409826723, 21, 1, 2, 5, 90, 0, 1, 3, 0.707773894633, 6, Why consume medicine?,  Reduce pain., 2, 110.36400000000003, 112.9010000000003, 0, 11, 11, 11, 2001, 12, 1, 2.536999999999807, 0.005623413251903493, 0.004216965034285824, , 1.22615364485, 114.13599999999997, 116.67200000000003, , 14.335273409826723, 21, 1, 2, 5, 90, 0, 1, 3, 0.707773894633, 6, Why consume medicine?,  Reduce pain., 2, 110.36400000000003, 112.9010000000003, 0, 11, 11, 11, 2001, 1, practice, 0.01, fmri_v220180219183556, 170, Wed Feb 21 2018 13:26:00 GMT-0800 (PST), stroop, 60
, , , , , , 1, 0.2159999999998945, , , , , , , , , 0, -1, -1, 0, 2001, 1, 1, 0.4329999999999927, 0.004216965034285824, 0.0031622776601683807, , 2.22148118606, 160.3050000000003, 160.73800000000028, , 25, 30, 1, 2, 5, 53.42747411323307, 1, 1, 4, 0.715636487791, 4, How to spread joy?,  Get a job., 6, 156.10000000000036, 158.0680000000002, 0, 0, 0, 0, 2001, 1, 1, 0.4329999999999927, 0.004216965034285824, 0.0031622776601683807, , 2.22148118606, 160.3050000000003, 160.73800000000028, , 25, 30, 1, 2, 5, 53.42747411323307, 1, 1, 4, 0.715636487791, 4, How to spread joy?,  Get a job., 6, 156.10000000000036, 158.0680000000002, 0, 0, 0, 0, 2001, 1, practice, 0.01, fmri_v220180219183556, 170, Wed Feb 21 2018 13:26:00 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , , , 0, -1, -1, 0, 2001, 2, 1, 0, 0.0031622776601683807, 0.0031622776601683807, , 1.17906753255, 168.80000000000018, 168.80200000000013, , 25, 30, 1, , 6, 70.44555320336755, 1, 1, 4, 1.27030139346, 3, How to impress others?,  Show intelligence., 6, 168.79800000000023, 168.79899999999998, 0, 1, 1, 1, 2001, 2, 1, 0, 0.0031622776601683807, 0.0031622776601683807, , 1.17906753255, 168.80000000000018, 168.80200000000013, , 25, 30, 1, , 6, 70.44555320336755, 1, 1, 4, 1.27030139346, 3, How to impress others?,  Show intelligence., 6, 168.79800000000023, 168.79899999999998, 0, 1, 1, 1, 2001, 1, practice, 0.01, fmri_v220180219183556, 170, Wed Feb 21 2018 13:26:00 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , , , 0, -1, -1, 0, 2001, 3, 2, 0, 0.0031622776601683807, 0.0031622776601683807, , 1.28269774522, 170.71500000000015, 170.7170000000001, , 25, 30, 1, , 7, 71.64555320336765, 1, 1, 4, 0.709550069787, 6, How to make a list?,  Throw away trash., 4, 170.7130000000002, 170.71399999999994, 0, 2, 2, 2, 2001, 3, 2, 0, 0.0031622776601683807, 0.0031622776601683807, , 1.28269774522, 170.71500000000015, 170.7170000000001, , 25, 30, 1, , 7, 71.64555320336765, 1, 1, 4, 0.709550069787, 6, How to make a list?,  Throw away trash., 4, 170.7130000000002, 170.71399999999994, 0, 2, 2, 2, 2001, 1, practice, 0.01, fmri_v220180219183556, 170, Wed Feb 21 2018 13:26:00 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , , , 0, -1, -1, 0, 2001, 4, 1, 0, 0.0031622776601683807, 0.0031622776601683807, , 1.61363527783, 174.75300000000016, 174.75700000000006, , 25, 30, 1, , 1, 64.4455532033675, 1, 1, 4, 0.569694905221, 9, How to take a picture?,  Point a camera., 4, 174.75199999999995, 174.75199999999995, 0, 3, 3, 3, 2001, 4, 1, 0, 0.0031622776601683807, 0.0031622776601683807, , 1.61363527783, 174.75300000000016, 174.75700000000006, , 25, 30, 1, , 1, 64.4455532033675, 1, 1, 4, 0.569694905221, 9, How to take a picture?,  Point a camera., 4, 174.75199999999995, 174.75199999999995, 0, 3, 3, 3, 2001, 1, practice, 0.01, fmri_v220180219183556, 170, Wed Feb 21 2018 13:26:00 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , , , 0, -1, -1, 0, 2001, 5, 2, 0, 0.0031622776601683807, 0.0031622776601683807, , 4.4558082124, 174.76000000000022, 174.76200000000017, , 25, 30, 1, , 2, 65.6455532033676, 1, 1, 4, 0.821939901725, 0, Why teach a class?,  Obey laws., 2, 174.75800000000027, 174.75900000000001, 0, 4, 4, 4, 2001, 5, 2, 0, 0.0031622776601683807, 0.0031622776601683807, , 4.4558082124, 174.76000000000022, 174.76200000000017, , 25, 30, 1, , 2, 65.6455532033676, 1, 1, 4, 0.821939901725, 0, Why teach a class?,  Obey laws., 2, 174.75800000000027, 174.75900000000001, 0, 4, 4, 4, 2001, 1, practice, 0.01, fmri_v220180219183556, 170, Wed Feb 21 2018 13:26:00 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , , , 0, -1, -1, 0, 2001, 6, 2, 0, 0.0031622776601683807, 0.0031622776601683807, , 1.50795198208, 174.76400000000012, 174.76600000000008, , 25, 30, 1, , 3, 66.84555320336756, 1, 1, 4, 1.00826127001, 11, Why write a song?,  Seek advice., 2, 174.76299999999992, 174.76400000000012, 0, 5, 5, 5, 2001, 6, 2, 0, 0.0031622776601683807, 0.0031622776601683807, , 1.50795198208, 174.76400000000012, 174.76600000000008, , 25, 30, 1, , 3, 66.84555320336756, 1, 1, 4, 1.00826127001, 11, Why write a song?,  Seek advice., 2, 174.76299999999992, 174.76400000000012, 0, 5, 5, 5, 2001, 1, practice, 0.01, fmri_v220180219183556, 170, Wed Feb 21 2018 13:26:00 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , , , 0, -1, -1, 0, 2001, 7, 2, 0, 0.0031622776601683807, 0.0031622776601683807, , 1.14006404205, 174.76900000000023, 174.77100000000019, , 25, 30, 1, , 9, 74.04555320336749, 1, 1, 4, 2.05992964317, 2, How to teach others?,  Give a lecture., 5, 174.76700000000028, 174.76700000000028, 0, 6, 6, 6, 2001, 7, 2, 0, 0.0031622776601683807, 0.0031622776601683807, , 1.14006404205, 174.76900000000023, 174.77100000000019, , 25, 30, 1, , 9, 74.04555320336749, 1, 1, 4, 2.05992964317, 2, How to teach others?,  Give a lecture., 5, 174.76700000000028, 174.76700000000028, 0, 6, 6, 6, 2001, 1, practice, 0.01, fmri_v220180219183556, 170, Wed Feb 21 2018 13:26:00 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , , , 0, -1, -1, 0, 2001, 8, 1, 0, 0.0031622776601683807, 0.0031622776601683807, , 1.2064157471, 174.77400000000034, 174.7750000000001, , 25, 30, 1, , 4, 68.0455532033675, 1, 1, 4, 0.558731564055, 5, How to get a promotion?,  Arrive on time., 5, 174.77199999999993, 174.77300000000014, 0, 7, 7, 7, 2001, 8, 1, 0, 0.0031622776601683807, 0.0031622776601683807, , 1.2064157471, 174.77400000000034, 174.7750000000001, , 25, 30, 1, , 4, 68.0455532033675, 1, 1, 4, 0.558731564055, 5, How to get a promotion?,  Arrive on time., 5, 174.77199999999993, 174.77300000000014, 0, 7, 7, 7, 2001, 1, practice, 0.01, fmri_v220180219183556, 170, Wed Feb 21 2018 13:26:00 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , , , 0, -1, -1, 0, 2001, 9, 2, 0, 0.0031622776601683807, 0.0031622776601683807, , 1.83393792325, 174.77800000000025, 174.78099999999995, , 25, 30, 1, , 5, 69.2455532033676, 1, 1, 4, 0.547440185207, 1, Why write an email?,  Send a message., 3, 174.77700000000004, 174.77700000000004, 0, 8, 8, 8, 2001, 9, 2, 0, 0.0031622776601683807, 0.0031622776601683807, , 1.83393792325, 174.77800000000025, 174.78099999999995, , 25, 30, 1, , 5, 69.2455532033676, 1, 1, 4, 0.547440185207, 1, Why write an email?,  Send a message., 3, 174.77700000000004, 174.77700000000004, 0, 8, 8, 8, 2001, 1, practice, 0.01, fmri_v220180219183556, 170, Wed Feb 21 2018 13:26:00 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , , , 0, -1, -1, 0, 2001, 10, 2, 0, 0.0031622776601683807, 0.0031622776601683807, , 1.53022746452, 174.7850000000003, 174.788, , 25, 30, 1, , 4, 68.0455532033675, 1, 1, 4, 0.538469491268, 7, Why keep a memory?,  Feel nostalgia., 3, 174.7840000000001, 174.7850000000003, 0, 9, 9, 9, 2001, 10, 2, 0, 0.0031622776601683807, 0.0031622776601683807, , 1.53022746452, 174.7850000000003, 174.788, , 25, 30, 1, , 4, 68.0455532033675, 1, 1, 4, 0.538469491268, 7, Why keep a memory?,  Feel nostalgia., 3, 174.7840000000001, 174.7850000000003, 0, 9, 9, 9, 2001, 1, practice, 0.01, fmri_v220180219183556, 170, Wed Feb 21 2018 13:26:00 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , , , 0, -1, -1, 0, 2001, 11, 1, 0, 0.0031622776601683807, 0.0031622776601683807, , 5.11627300456, 174.79100000000017, 174.79300000000012, , 25, 30, 1, , 7, 71.64555320336765, 1, 1, 4, 1.09764583393, 10, Why use a brush?,  Paint a picture., 1, 174.78900000000021, 174.78999999999996, 0, 10, 10, 10, 2001, 11, 1, 0, 0.0031622776601683807, 0.0031622776601683807, , 5.11627300456, 174.79100000000017, 174.79300000000012, , 25, 30, 1, , 7, 71.64555320336765, 1, 1, 4, 1.09764583393, 10, Why use a brush?,  Paint a picture., 1, 174.78900000000021, 174.78999999999996, 0, 10, 10, 10, 2001, 1, practice, 0.01, fmri_v220180219183556, 170, Wed Feb 21 2018 13:26:00 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , , , 0, -1, -1, 0, 2001, 12, 1, 0, 0.0031622776601683807, 0.0031622776601683807, , 1.00796966667, 174.79700000000003, 174.79800000000023, , 25, 30, 1, , 8, 72.84555320336754, 1, 1, 4, 1.58892359103, 8, Why cut paper?,  Clip coupons., 1, 174.79500000000007, 174.79500000000007, 0, 11, 11, 11, 2001, 12, 1, 0, 0.0031622776601683807, 0.0031622776601683807, , 1.00796966667, 174.79700000000003, 174.79800000000023, , 25, 30, 1, , 8, 72.84555320336754, 1, 1, 4, 1.58892359103, 8, Why cut paper?,  Clip coupons., 1, 174.79500000000007, 174.79500000000007, 0, 11, 11, 11, 2001, 1, practice, 0.01, fmri_v220180219183556, 170, Wed Feb 21 2018 13:26:00 GMT-0800 (PST), stroop, 60
