LoopFile,PreTaskInstructions
design_csv_files/fmri_v420180321162801/sub2096d3rpractice1.csv," Are you ready?\nIn this set of choices,\nyou will always choose between\ngetting $20 and $30,\nbut the delay to get the money will go up or down each time.\nThis screen displays for 10 seconds."
design_csv_files/fmri_v420180321162801/sub2096d3rpractice2.csv," Are you ready?\nIn this set of choices,\nyou will always choose between\ngetting money in 5 days or 50 days,\nbut the amount of money will go up or down each time.\nThis screen displays for 10 seconds."
